row_index,reason,original_src,original_dst
3783,src_unresolved:TZA|ID:6463.0;dst_unresolved:CUK|ID:5454.0,TZA,CUK
3784,src_unresolved:TZA|ID:6463.0;dst_unresolved:DGA|ID:7287.0,TZA,DGA
3785,src_unresolved:TZA|ID:6463.0,TZA,SPR
3786,src_unresolved:TZA|ID:6463.0;dst_unresolved:SQS|ID:nan,TZA,SQS
3791,dst_unresolved:LCR|ID:7356.0,ACR,LCR
3830,src_unresolved:LCR|ID:7356.0,LCR,ACR
3831,src_unresolved:LCR|ID:7356.0,LCR,LET
3832,dst_unresolved:LCR|ID:7356.0,LET,LCR
3834,dst_unresolved:TCD|ID:5477.0,LET,TCD
3835,src_unresolved:LMC|ID:7358.0,LMC,VVC
3855,src_unresolved:TCD|ID:5477.0,TCD,LET
3863,dst_unresolved:LMC|ID:7358.0,VVC,LMC
4556,dst_unresolved:MLH|ID:nan,LYS,MLH
4567,src_unresolved:MLH|ID:nan,MLH,LYS
9725,src_unresolved:MLH|ID:nan,MLH,ORY
9852,dst_unresolved:MLH|ID:nan,ORY,MLH
10149,dst_unresolved:MLH|ID:nan,CZL,MLH
10199,src_unresolved:MLH|ID:nan,MLH,CZL
12113,dst_unresolved:GLN|ID:9823.0,CMN,GLN
12179,src_unresolved:GLN|ID:9823.0,GLN,TTA
14353,src_unresolved:GSM|ID:5712.0,GSM,MHD
14364,dst_unresolved:GSM|ID:5712.0,MHD,GSM
14962,dst_unresolved:SSB|ID:7310.0,SPB,SSB
14963,src_unresolved:SSB|ID:7310.0,SSB,SPB
15393,dst_unresolved:MLH|ID:nan,DJE,MLH
16077,dst_unresolved:NTG|ID:5475.0,CAN,NTG
16274,dst_unresolved:NTG|ID:5475.0,DLC,NTG
16665,src_unresolved:NTG|ID:5475.0,NTG,CAN
16666,src_unresolved:NTG|ID:5475.0,NTG,DLC
16667,src_unresolved:NTG|ID:5475.0,NTG,PEK
16668,src_unresolved:NTG|ID:5475.0,NTG,SHE
16669,src_unresolved:NTG|ID:5475.0,NTG,SZX
16670,src_unresolved:NTG|ID:5475.0,NTG,TSN
16671,src_unresolved:NTG|ID:5475.0,NTG,XMN
16766,dst_unresolved:NTG|ID:5475.0,PEK,NTG
16896,dst_unresolved:NTG|ID:5475.0,SHE,NTG
16950,dst_unresolved:NTG|ID:5475.0,SZX,NTG
